id,trigger,conditions,script,text,options,notes
flavorTextMarketJabezLudd,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church
$market.id == jabez_market","AddText ""The spaceport itself is simple and heavyset in construction. The entire market is connected to it via steel and glass pedestrian tubes that keep the vacuum at bay and polarize the harsh sunlight. The marketplace itself seems like it was built into the circular hole left by a massive excavation effort cut into the very crust of the planet. Markets and hewn footpaths sprawl in all directions from here across the 'gap'."" marketFlavorTextColor
AddText ""Luddic symbols and colors decorate this market. It is a sea of people here to catch a glimmer of craftsmanship, exotic goods, or sell their hard-wrought goods. The people are down to Earth and direct yet polite."" marketFlavorTextColor",,,

flavorTextMarketJabezRed,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == redlegion
$market.id == jabez_market","AddText ""The spaceport itself is simple and heavyset in construction. The entire market is connected to it via steel and glass pedestrian tubes that keep the vacuum at bay and polarize the harsh sunlight. The marketplace itself seems like it was built into the circular hole left by a massive excavation effort cut into the very crust of the planet. Markets and hewn footpaths sprawl in all directions from here across the 'gap'."" marketFlavorTextColor
AddText ""White and Red coloration and the inverted diamond symbols of the Red Legion decorate this market. It is a sea of people here to catch a glimmer of craftsmanship, exotic goods, or sell their hard-wrought goods. Anything could be bought here, for a price."" marketFlavorTextColor",,,

flavorTextMarketTandaRed,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == redlegion
$market.id == tanda_market","AddText ""This 'megaport' of a starport has dozens of landing pads neatly set apart on large suspended platforms. After landing, yours is enclosed in a dome and the atmosphere pumped out to allow nitrogen-oxygen to be pumped in. A warning system tells you to stay in your space-suit until you are inside the concourse."" marketFlavorTextColor
AddText ""This massive concourse is a glorious capitalistic marketplace of weapons, goods, and exotics. Primarily a fueling depot, this is also clearly a trade hub for the Legion. Different companies compete to sell the complex fuel produced in absolutely incredible amounts here on Tanda. The whole area is monitored by cameras, turrets, a few hovering drones who move about with a dull hum. A large military assault robot thrums with energy over near the loading zone. At least you're not likely to be mugged in the concourse..."" marketFlavorTextColor",,,

flavorTextMarketTandaLudd,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church
$market.id == tanda_market","AddText ""This 'megaport' of a starport has dozens of landing pads neatly set apart on large suspended platforms. After landing, yours is enclosed in a dome and the atmosphere pumped out to allow nitrogen-oxygen to be pumped in. A warning system tells you to stay in your space-suit until you are inside the concourse."" marketFlavorTextColor
AddText ""This massive concourse is a sprawling marketplace of handmade goods. The banners of the Luddic church of Galactic Redemption hang from on high. Complex technical systems have been replaced by crude yet reliable circuits and manually operated systems as is Ludd's vision. Primarily a fueling depot, you can purchase large volumes of the complex fuel produced in absolutely incredible amounts here on Tanda. The people here are somewhat quiet for a marketplace, and you find them pleasant if curt to interact with."" marketFlavorTextColor",,,

flavorTextMarketSirajTri,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == tritachyon
$market.id == siraj_market","AddText ""Harsh winds of heavy sand make for a noisy if largely uneventful landing. The spaceport is a reasonably contained if showy design with bright lighting and numerous ad-holos and displays with advertising or local news, weather, and stocks. It is only a short walk down to the marketplace."" marketFlavorTextColor
AddText ""Even all the way out here Tri-Tachyon does not fail to impress. A sprawling open-concept bar dominated the very center of the market with a holo-band hovering above it. The lighting near the ceiling is blended with holo-projectors to create a dazzling display of advertisements coming in and out of the artificial sky-like display. Small store-fronts cover every wall and crevice, each demanding your attention with signs, lights, sound, and an aurora of displays."" marketFlavorTextColor",,,

flavorTextMarketSirajRed,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == redlegion
$market.id == siraj_market","AddText ""Harsh winds of heavy sand make for a noisy if largely uneventful landing. The spaceport is a reasonably contained if showy design with bright lighting and numerous ad-holos and displays with advertising or local news, weather, and stocks. It is only a short walk down to the marketplace."" marketFlavorTextColor
AddText ""Evidently the Red Legion has made some 'upgrades' to the original Tri-Tachyon setup. A sprawling open-concept bar still dominates the very center of the market but now includes a vast seating area with a stage where entertainers keep the drunk soldiers and workers distracted from the tough frontier living. The lighting near the ceiling is blended with holo-projectors to create a dazzling display of Red Legion ships coming in and out of the artificial sky-like display in a show of naval might. Small store-fronts cover every wall and crevice, each demanding your attention with signs, lights, smells, sound, and an aurora of displays."" marketFlavorTextColor",,,

flavorTextMarketSirajLudd,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church
$market.id == siraj_market","AddText ""Harsh winds of heavy sand make for a noisy if largely uneventful landing. The spaceport is a reasonably contained if showy design with bright lighting and all the numerous ad-holos and displays with advertising removed. In their place, the devotions of Ludd have been placed for all to see. It is only a short walk down to the marketplace."" marketFlavorTextColor
AddText ""The Church of Galactic Redemption have done some cleanup of the original Tri-Tachyon setup. A sprawling open shrine dominates the very center of the market where a priest speaks on the joy of simple living and the rewarding life of hard labor. The lighting near the ceiling is blended with holo-projectors to create a slow-moving display of Luddic devotionals and iconography to insipire the faithful. Small store-fronts cover every wall and crevice, each decorated plainly and clearly by function."" marketFlavorTextColor",,,

flavorTextMarketErvarLudd,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church
$market.id == ervar_market","AddText ""A massive concrete and steel tube connects to your ship as you dock, requiring slight manual adjustments to reach alignment. It is a cramped yet very secure space, and a thankfully short walk into the interior. A secure area of Luddic soldiers watch you pass by as you step out into the customs area. The station interior is all heavy steel and cabling with open, functional spaces. The entire place is spartan and utilitarian. You pass by several marines before being allowed into the market."" marketFlavorTextColor
AddText ""The Luddic Church takes its tenants seriously. A few quiet guards and a stern looking quartermaster stand by a spartan steel desk before crates of neatly marked inventory. Standing next to him is a naval ensign in uniform with a small shuttle who can show you the surplus ships available to those who have made great efforts towards Galactic Redemption. The whole area is monitored by a quartet of marines."" marketFlavorTextColor",,,

flavorTextMarketErvarRed,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == redlegion
$market.id == ervar_market","AddText ""A massive concrete and steel tube connects to your ship as you dock, requiring slight manual adjustments to reach alignment. It is a cramped yet very secure space, and a thankfully short walk into the interior. A secure area of Legion soldiers watch you pass by as you step out into the customs area. The station interior is all heavy steel and cabling with open, functional spaces. The entire place is spartan and utilitarian. You pass by several marines before being allowed into the market."" marketFlavorTextColor
AddText ""The Red Legion has made good use of the available space. Weapons, crates of drugs, and other materials are crammed into every available square foot. A few guards in crisp white and red uniforms give you a smile, but watch you carefully from their posts. A businessman stands by a lovely oak desk before open crates of heavy weaponry as if on display. Standing next to him is a friendly woman in uniform with a small shuttle who can show you the surplus ships available to those who have made friends with the Red Legion. The whole area is monitored by cameras and a quietly humming war robot anchored to the ceiling."" marketFlavorTextColor",,,
